FFillon jeune:4 encore:4 haut:4 vite:3 tard:3 modestes:3 politique:2 aller:2 beaucoup:2 sont:2
MLepen aucun:2 professionnelle:1 besoin:1 donnant:1 emplois:1 possible:1 donner:1 non:1 strictement:1 modestes:1
BLeMaire efficace:36 grande:35 encore:29 non:23 fois:20 grand:18 rendre:18 toujours:17 fragiles:16 rapidement:15
JFCope reculer:3 pouvons:3 possible:2 rendre:2 appel:1 ouvert:1 rigoureux:1 forte:1 grandes:1 grande:1
SPinel beaucoup:3 grande:3 non:2 seront:2 large:2 souvent:2 rapide:2 montrer:1 fois:1 vieux:1
EMacron loin:5 peu:3 aller:2 beaucoup:2 cher:2 dur:1 construire:1 facile:1 payait:1 utiles:1
Projet-pour-La-France-Manuel-Valls loin:12 aller:8 juste:6 rendre:5 encore:5 non:4 doit:4 fort:4 fragiles:3 forte:3
NDupontAignant souvent:9 bien:7 fois:7 toujours:6 beaucoup:5 peu:5 grand:5 bas:4 largement:4 haut:4
YJadot efficace:1 nombreux:1 petit:1 besoin:1 juste:1 lisible:1 rapidement:1 avoir:1 encore:1 fondamental:1
JLMelenchon pas:3 juste:3 non:2 encore:2 efficace:2 riches:2 produire:2 importantes:2 toujours:2 lointaines:1
NKosciusko-Morizet toujours:5 simple:4 protecteur:2 non:2 travail:2 libre:2 souple:2 statut:2 besoin:1 moi:1
FDeRugy pas:3 supportable:2 doit:2 large:2 aucun:1 favorables:1 aller:1 repose:1 fait:1 proche:1
NArthaud toujours:6 riches:5 pauvres:2 grand:2 lui:1 injuste:1 puissantes:1 utiles:1 complet:1 directe:1
JFPoisson grande:4 personne:3 peu:1 fragiles:1 anciens:1 importants:1 non:1 avoir:1 modestes:1 locaux:1
FAsselineau large:3 fera:2 profond:2 grand:2 serait:2 beaucoup:2 souvent:2 implacable:2 soit:2 entendu:2

